rover_name,agency,launch_year,class,mass_total_kg,mass_chassis_kg,n_wheels,wheel_radius_m,wheel_width_m,grouser_height_m,grouser_count,wheelbase_m,solar_area_m2,battery_capacity_wh,avionics_power_w,nominal_speed_mps,mission_latitude_deg,planned_traverse_m,citation,notes
Sojourner,NASA,1996,mars_micro,10.6,,6,0.065,0.08,0.01,,0.28,0.22,,,,,100,"Wilcox & Nguyen 1998, IEEE Aerospace",Mars — included for MER fitting only; gravity-scaled.
Lunokhod-1,USSR,1970,lunar_large,756,,8,0.255,0.2,,,1.6,,,,0.55,38.3,,"Kemurjian 1992; Heiken et al. 1991",Included as an upper-bound reference point only.
Yutu-1,CNSA,2013,lunar_medium,140,,6,0.15,0.15,,,,,120,,,44.1,,"Jia et al. 2018, Acta Astronautica",
Yutu-2,CNSA,2019,lunar_medium,135,,6,0.15,0.15,,,,,,,,45.5,,"Di et al. 2020, Icarus",Apollo-17-mare-like terrain reference.
Pragyan,ISRO,2023,lunar_small,26,,6,0.085,,,,,,,,0.01,-69.4,500,"ISRO Chandrayaan-3 press materials",South polar region.
Rashid,MBRSC/UAE,2022,lunar_micro,10,,4,0.1,,,,,0.4,,,,0.0,,"MBRSC 2022 mission overview",Equatorial; lost on Hakuto-R lander failure.
CADRE-unit,NASA/JPL,2024,lunar_nano,2,,4,0.08,,,,0.3,0.1,,,,,,"Rothenbuchner 2023 IEEE Aerospace",Multi-rover architecture; specs per-unit.
Resilience-Tenacious,ispace,2024,lunar_micro,5,,4,0.06,,,,,,,,,0.0,,"ispace mission docs",Ultra-micro rover concept.
ExoMy,ESA/ESTEC,2020,academic_concept,8,,6,0.055,0.06,0.008,,0.4,,,,,,,"ESA ExoMy open-hardware documentation",Educational rover; specs approximate.
MARSOKHOD-proto,IKI,1992,academic_concept,70,,6,0.17,0.13,0.015,,0.78,,,,0.5,,,"Kemurjian et al. 1993",Included as historical reference.
